date,lat[unit="degrees_north"],lon[unit="degrees_east"],dir[unit="degree"],mod[unit="m s-1"],mslp[unit="Pa"],prec[unit="kg m-2"],rh[unit="1"],temp[unit="K"],wind_gust[unit="m s-1"]
2015-10-18T14:00:00Z,43.30409333859623,-5.88658785664861,22.611069,4.1573486,101392.54,0.0,0.72762007,292.71582,5.063517
2015-10-18T15:00:00Z,43.30409333859623,-5.88658785664861,34.14843,3.6534588,101351.68,0.0,0.77110916,291.81607,4.442315
2015-10-18T16:00:00Z,43.30409333859623,-5.88658785664861,40.475838,2.5310872,101339.47,0.0,0.83020115,290.77887,4.108123
2015-10-18T17:00:00Z,43.30409333859623,-5.88658785664861,50.206535,1.5333717,101375.71,0.0,0.9069316,289.51245,2.3303885
2015-10-18T18:00:00Z,43.30409333859623,-5.88658785664861,119.66603,0.68405706,101469.34,0.0,0.9597765,288.47256,1.2958376
2015-10-18T19:00:00Z,43.30409333859623,-5.88658785664861,159.05037,1.180474,101479.46,0.0,0.96539295,287.4028,2.2060914
2015-10-18T20:00:00Z,43.30409333859623,-5.88658785664861,156.6449,1.3728527,101491.44,0.0,0.9598039,286.5865,2.5722432
2015-10-18T21:00:00Z,43.30409333859623,-5.88658785664861,141.13966,0.9636918,101511.7,0.0,0.95498943,285.98224,1.8313404
2015-10-18T22:00:00Z,43.30409333859623,-5.88658785664861,155.73106,0.7321543,101555.44,0.0,0.9538559,285.43332,1.3587432
2015-10-18T23:00:00Z,43.30409333859623,-5.88658785664861,193.3546,0.14976509,101528.58,0.0,0.96234375,285.08694,0.2599168
2015-10-19T00:00:00Z,43.30409333859623,-5.88658785664861,45.3165,0.5440783,101486.07,0.0,0.98783714,284.97525,1.0231916
